PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
PRO PLAN SENSITIVE SKIN RAZA MEDIANA & GRANDE;12453289;3;6; 8.153,12 ; 1.358,85 ; 9.865,27 ; 1.644,21 ; 2.137,48 
PRO PLAN SENSITIVE SKIN RAZA MEDIANA & GRANDE;12453316;15;1; 4.814,48 ; 4.814,48 ; 5.825,52 ; 5.825,52 ; 7.456,66 
PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453344;1;6; 3.018,22 ; 503,04 ; 3.652,05 ; 608,68 ; 791,28 
PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453345;3;6; 8.168,67 ; 1.361,44 ; 9.884,09 ; 1.647,35 ; 2.141,55 
PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453317;7,5;1; 2.909,76 ; 2.909,76 ; 3.520,82 ; 3.520,82 ; 4.577,06 
PRO PLAN EXIGENT DOG (SMALL BREED);12453346;1;6; 3.018,22 ; 503,04 ; 3.652,05 ; 608,68 ; 791,28 
PRO PLAN EXIGENT DOG (SMALL BREED);12453318;3;6; 8.198,57 ; 1.366,43 ; 9.920,27 ; 1.653,38 ; 2.149,39 
PRO PLAN EXIGENT DOG (SMALL BREED);12453683;7,5;1; 2.885,91 ; 2.885,91 ; 3.491,96 ; 3.491,96 ; 4.539,54 
PRO PLAN Adult Dog Chicken 15x100g XI;12341823;0,1;15; 1.002,52 ; 66,84 ; 1.213,06 ; 80,87 ; 113,22 
PRO PLAN Adult Dog 7+ Active Mind 15x100gXI;12344779;0,1;15; 1.002,52 ; 66,84 ; 1.213,06 ; 80,87 ; 113,22 
PRO PLAN KITTEN PROTECTION;12449850;1;6; 4.209,12 ; 701,52 ; 5.093,03 ; 848,84 ; 1.145,93 
PRO PLAN KITTEN PROTECTION;12449837;3;6; 11.300,26 ; 1.883,38 ; 13.673,31 ; 2.278,89 ; 3.076,50 
PRO PLAN KITTEN PROTECTION;12448695;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
PRO PLAN ADULT CAT;12449836;1;6; 3.822,83 ; 637,14 ; 4.625,63 ; 770,94 ; 1.040,77 
PRO PLAN ADULT CAT;12450068;3;6; 10.264,94 ; 1.710,82 ; 12.420,58 ; 2.070,10 ; 2.794,63 
PRO PLAN ADULT CAT;12450081;7,5;1; 3.572,98 ; 3.572,98 ; 4.323,30 ; 4.323,30 ; 5.620,29 
PRO PLAN ADULT CAT;12450069;15;1; 6.435,11 ; 6.435,11 ; 7.786,49 ; 7.786,49 ; 9.966,70 
PRO PLAN ADULT CAT 7+;12450082;1;6; 4.211,97 ; 701,99 ; 5.096,48 ; 849,41 ; 1.146,71 
PRO PLAN ADULT CAT 7+;12450605;3;6; 11.311,50 ; 1.885,25 ; 13.686,92 ; 2.281,15 ; 3.079,56 
PRO PLAN ADULT CAT 7+;12450586;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
PRO PLAN REDUCED CALORIE CAT;12450597;1;6; 4.339,20 ; 723,20 ; 5.250,43 ; 875,07 ; 1.181,35 
PRO PLAN REDUCED CALORIE CAT;12450608;3;6; 11.659,03 ; 1.943,17 ; 14.107,42 ; 2.351,24 ; 3.174,17 
PRO PLAN REDUCED CALORIE CAT;12450607;7,5;1; 3.774,63 ; 3.774,63 ; 4.567,30 ; 4.567,30 ; 5.937,49 
PRO PLAN URINARY CAT;12450587;1;6; 4.257,88 ; 709,65 ; 5.152,04 ; 858,67 ; 1.159,21 
PRO PLAN URINARY CAT;12450606;3;6; 11.547,27 ; 1.924,55 ; 13.972,20 ; 2.328,70 ; 3.143,74 
PRO PLAN URINARY CAT;12450588;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
PRO PLAN URINARY CAT;12451798;15;1; 6.980,46 ; 6.980,46 ; 8.446,36 ; 8.446,36 ; 10.811,34 
PRO PLAN SENSITIVE CAT;12452635;1;6; 4.398,62 ; 733,10 ; 5.322,34 ; 887,06 ; 1.197,53 
PRO PLAN SENSITIVE CAT;12452636;3;6; 11.809,42 ; 1.968,24 ; 14.289,39 ; 2.381,57 ; 3.215,11 
PRO PLAN SENSITIVE CAT;12452637;7,5;1; 4.111,99 ; 4.111,99 ; 4.975,51 ; 4.975,51 ; 6.468,16 
PRO PLAN STERILIZED CAT;12450599;1;6; 4.398,62 ; 733,10 ; 5.322,34 ; 887,06 ; 1.197,53 
PRO PLAN STERILIZED CAT;12450589;3;6; 11.808,07 ; 1.968,01 ; 14.287,76 ; 2.381,29 ; 3.214,75 
PRO PLAN STERILIZED CAT;12450610;7,5;1; 4.111,99 ; 4.111,99 ; 4.975,51 ; 4.975,51 ; 6.468,16 
PRO PLAN LIVE CLEAR;12458622;1;6; 5.887,85 ; 981,31 ; 7.124,30 ; 1.187,38 ; 1.602,97 
PRO PLAN LIVE CLEAR;12458608;3;6; 15.967,71 ; 2.661,29 ; 19.320,93 ; 3.220,15 ; 4.347,21 
PRO PLAN KITTEN (Gatitos) 15x85g XI;12341824;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
PRO PLAN Adult Cat Chicken (Pollo) 15x85g XI;12340775;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
PRO PLAN Adult Cat Salmon 15x85g XI;12340773;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
PRO PLAN Sterilized Cat (Castrados) 15x85g XI;12340774;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
W.E.F. Puppy Recipe(Cachorros) Chicken & Salmon (Pollo y Salmón) ;12376502;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
W.E.F. Puppy Recipe(Cachorros) Chicken & Salmon (Pollo y Salmón);12376416;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376500;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376421;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376422;12;1; 3.497,75 ; 3.497,75 ; 4.232,27 ; 4.232,27 ; 5.924,05 
W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376501;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376415;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376489;12;1; 3.497,75 ; 3.497,75 ; 4.232,27 ; 4.232,27 ; 5.924,05 
PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12383971;7,5;1; 2.539,65 ; 2.539,65 ; 3.072,97 ; 3.072,97 ; 4.609,46 
PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12383970;2;6; 5.227,81 ; 871,30 ; 6.325,65 ; 1.054,28 ; 1.581,41 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO;12383975;7,5;1; 2.539,65 ; 2.539,65 ; 3.072,97 ; 3.072,97 ; 4.609,46 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO;12383973;2;6; 5.227,81 ; 871,30 ; 6.325,65 ; 1.054,28 ; 1.581,41 
PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12383978;7,5;1; 2.732,72 ; 2.732,72 ; 3.306,59 ; 3.306,59 ; 4.959,89 
PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12383976;2;6; 5.465,44 ; 910,91 ; 6.613,18 ; 1.102,20 ; 1.653,30 
PPVD UR (URINARY) VIAS URINARIAS;12384138;7,5;1; 2.887,03 ; 2.887,03 ; 3.493,31 ; 3.493,31 ; 5.239,96 
PPVD UR (URINARY) VIAS URINARIAS;12384090;2;6; 6.043,28 ; 1.007,21 ; 7.312,36 ; 1.218,73 ; 1.828,09 
PPVD JM (JOINT MOBILITY) MOVILIDAD ARTICULAR;12345747;7,5;1; 3.027,27 ; 3.027,27 ; 3.662,99 ; 3.662,99 ; 5.494,49 
PPVD JM (JOINT MOBILITY) MOVILIDAD ARTICULAR;12383972;2;6; 6.158,26 ; 1.026,38 ; 7.451,49 ; 1.241,92 ; 1.862,87 
PPVD NC (NEUROCARE) NEUROLOGICO ;12377833;7,5;1; 3.052,11 ; 3.052,11 ; 3.693,05 ; 3.693,05 ; 5.539,57 
PPVD NC (NEUROCARE) NEUROLOGICO ;12377830;2;6; 6.170,26 ; 1.028,38 ; 7.466,02 ; 1.244,34 ; 1.866,50 
PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12384070;7,5;1; 3.279,26 ; 3.279,26 ; 3.967,91 ; 3.967,91 ; 5.951,87 
PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12384077;1,5;8; 7.128,84 ; 891,10 ; 8.625,89 ; 1.078,24 ; 1.617,35 
PPVD UR (URINARY) VIAS URINARIAS;12383959;7,5;1; 3.689,29 ; 3.689,29 ; 4.464,04 ; 4.464,04 ; 6.696,05 
PPVD UR (URINARY) VIAS URINARIAS;12384079;1,5;8; 8.391,70 ; 1.048,96 ; 10.153,96 ; 1.269,24 ; 1.903,87 
PPVD DM (DIABETES MANAGEMENT) DIABETES;12384095;1,5;8; 10.078,31 ; 1.259,79 ; 12.194,75 ; 1.524,34 ; 2.286,52 
PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12345828;1,5;8; 8.091,26 ; 1.011,41 ; 9.790,43 ; 1.223,80 ; 1.835,70 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO EARLY STAGE  ;12384139;3;6; 10.945,70 ; 1.824,28 ; 13.244,30 ; 2.207,38 ; 3.311,07 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO EARLY STAGE  ;12384137;1,5;8; 7.297,13 ; 912,14 ; 8.829,53 ; 1.103,69 ; 1.655,54 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO ADVANCED STAGE  ;12384135;7,5;1; 3.208,08 ; 3.208,08 ; 3.881,77 ; 3.881,77 ; 5.822,66 
PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO ADVANCED STAGE  ;12384134;1,5;8; 7.035,88 ; 879,48 ; 8.513,41 ; 1.064,18 ; 1.596,27 
EXCELLENT PUPPY SMALL BREED CH&R ;12286515;1;6; 1.434,42 ; 239,08 ; 1.735,64 ; 289,27 ; 376,06 
EXCELLENT PUPPY SMALL BREED CH&R ;12286514;3;6; 3.909,66 ; 651,61 ; 4.730,67 ; 788,45 ; 1.024,99 
EXCELLENT PUPPY SMALL BREED CH&R ;12286513;15;1; 2.576,17 ; 2.576,17 ; 3.117,17 ; 3.117,17 ; 3.989,97 
EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286518;1;6; 1.434,42 ; 239,08 ; 1.735,64 ; 289,27 ; 376,06 
EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286519;3;6; 3.909,66 ; 651,61 ; 4.730,67 ; 788,45 ; 1.024,99 
EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286517;15;1; 2.576,17 ; 2.576,17 ; 3.117,17 ; 3.117,17 ; 3.989,97 
EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286516;20;1; 3.430,21 ; 3.430,21 ; 4.150,55 ; 4.150,55 ; 5.312,69 
EXCELLENT ADULT DOG SMALL BREED CH&R;12286476;1;6; 1.304,11 ; 217,34 ; 1.577,98 ; 263,00 ; 341,90 
EXCELLENT ADULT DOG SMALL BREED CH&R;12286477;3;6; 3.573,62 ; 595,60 ; 4.324,07 ; 720,68 ; 936,87 
EXCELLENT ADULT DOG SMALL BREED CH&R;12286504;15;1; 2.336,23 ; 2.336,23 ; 2.826,84 ; 2.826,84 ; 3.618,36 
EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286473;3;6; 3.564,45 ; 594,07 ; 4.312,98 ; 718,83 ; 934,48 
EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286474;15;1; 2.344,83 ; 2.344,83 ; 2.837,23 ; 2.837,23 ; 3.631,67 
EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286475;20;1; 3.001,85 ; 3.001,85 ; 3.632,23 ; 3.632,23 ; 4.649,26 
EXCELENT ADULT 7+DOG;12286509;3;6; 3.866,52 ; 644,42 ; 4.678,49 ; 779,75 ; 1.013,67 
EXCELENT ADULT 7+DOG;12286508;15;1; 2.543,54 ; 2.543,54 ; 3.077,67 ; 3.077,67 ; 3.939,44 
EXCELENT REDUCED CALORIE DOG;12286512;3;6; 3.866,52 ; 644,42 ; 4.678,49 ; 779,75 ; 1.013,67 
EXCELENT REDUCED CALORIE DOG;12286511;15;1; 2.543,54 ; 2.543,54 ; 3.077,67 ; 3.077,67 ; 3.939,44 
EXCELLENT FORMULA PUPPY ;12286478;15;1; 2.412,02 ; 2.412,02 ; 2.918,53 ; 2.918,53 ; 3.735,72 
EXCELLENT FORMULA PUPPY ;12286479;20;1; 3.045,61 ; 3.045,61 ; 3.685,20 ; 3.685,20 ; 4.717,04 
EXCELLENT FORMULA ADULT DOG;12286506;15;1; 2.111,52 ; 2.111,52 ; 2.554,92 ; 2.554,92 ; 3.270,30 
EXCELLENT FORMULA ADULT DOG;12286610;20;1; 2.693,23 ; 2.693,23 ; 3.258,80 ; 3.258,80 ; 4.171,28 
EXCELLENT ADULT SKIN CARE CON CORDERO;12427529;3;6; 3.910,00 ; 651,67 ; 4.731,10 ; 788,52 ; 1.025,06 
EXCELLENT ADULT SKIN CARE CON CORDERO;12427534;15;1; 2.572,12 ; 2.572,12 ; 3.112,27 ; 3.112,27 ; 3.983,72 
EXCELLENT KITTEN Chicken & Rice;12286503;1;6; 2.268,03 ; 378,00 ; 2.744,33 ; 457,39 ; 617,47 
EXCELLENT KITTEN Chicken & Rice;12286500;7,5;1; 2.209,88 ; 2.209,88 ; 2.673,95 ; 2.673,95 ; 3.476,13 
EXCELLENT ADULT CAT Chicken & Rice;12286483;1;6; 2.068,71 ; 344,79 ; 2.503,15 ; 417,18 ; 563,20 
EXCELLENT ADULT CAT Chicken & Rice;12286484;3;6; 5.602,49 ; 933,75 ; 6.779,01 ; 1.129,83 ; 1.525,27 
