Fabricante;Marca;Rubro;Linea;Especie;Edad;Raza;PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN EXIGENT DOG (SMALL BREED);12453318;3;6; 8.198,57 ; 1.366,43 ; 9.920,27 ; 1.653,38 ; 2.149,39 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN EXIGENT DOG (SMALL BREED);12453683;7,5;1; 2.885,91 ; 2.885,91 ; 3.491,96 ; 3.491,96 ; 4.539,54 
Nestle Purina;Pro Plan;Alimento Húmedo;;Perro;Adulto;;PRO PLAN Adult Dog Chicken 15x100g XI;12341823;0,1;15; 1.002,52 ; 66,84 ; 1.213,06 ; 80,87 ; 113,22 
Nestle Purina;Pro Plan;Alimento Húmedo;;Perro;Adulto;;PRO PLAN Adult Dog 7+ Active Mind 15x100gXI;12344779;0,1;15; 1.002,52 ; 66,84 ; 1.213,06 ; 80,87 ; 113,22 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Cachorro;;PRO PLAN KITTEN PROTECTION;12449850;1;6; 4.209,12 ; 701,52 ; 5.093,03 ; 848,84 ; 1.145,93 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Cachorro;;PRO PLAN KITTEN PROTECTION;12449837;3;6; 11.300,26 ; 1.883,38 ; 13.673,31 ; 2.278,89 ; 3.076,50 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Cachorro;;PRO PLAN KITTEN PROTECTION;12448695;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT;12449836;1;6; 3.822,83 ; 637,14 ; 4.625,63 ; 770,94 ; 1.040,77 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT;12450068;3;6; 10.264,94 ; 1.710,82 ; 12.420,58 ; 2.070,10 ; 2.794,63 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT;12450081;7,5;1; 3.572,98 ; 3.572,98 ; 4.323,30 ; 4.323,30 ; 5.620,29 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT;12450069;15;1; 6.435,11 ; 6.435,11 ; 7.786,49 ; 7.786,49 ; 9.966,70 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT 7+;12450082;1;6; 4.211,97 ; 701,99 ; 5.096,48 ; 849,41 ; 1.146,71 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT 7+;12450605;3;6; 11.311,50 ; 1.885,25 ; 13.686,92 ; 2.281,15 ; 3.079,56 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN ADULT CAT 7+;12450586;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN REDUCED CALORIE CAT;12450597;1;6; 4.339,20 ; 723,20 ; 5.250,43 ; 875,07 ; 1.181,35 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN REDUCED CALORIE CAT;12450608;3;6; 11.659,03 ; 1.943,17 ; 14.107,42 ; 2.351,24 ; 3.174,17 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN REDUCED CALORIE CAT;12450607;7,5;1; 3.774,63 ; 3.774,63 ; 4.567,30 ; 4.567,30 ; 5.937,49 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN URINARY CAT;12450587;1;6; 4.257,88 ; 709,65 ; 5.152,04 ; 858,67 ; 1.159,21 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN URINARY CAT;12450606;3;6; 11.547,27 ; 1.924,55 ; 13.972,20 ; 2.328,70 ; 3.143,74 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN URINARY CAT;12450588;7,5;1; 3.875,77 ; 3.875,77 ; 4.689,68 ; 4.689,68 ; 6.096,59 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN URINARY CAT;12451798;15;1; 6.980,46 ; 6.980,46 ; 8.446,36 ; 8.446,36 ; 10.811,34 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN SENSITIVE CAT;12452635;1;6; 4.398,62 ; 733,10 ; 5.322,34 ; 887,06 ; 1.197,53 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN SENSITIVE CAT;12452636;3;6; 11.809,42 ; 1.968,24 ; 14.289,39 ; 2.381,57 ; 3.215,11 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN SENSITIVE CAT;12452637;7,5;1; 4.111,99 ; 4.111,99 ; 4.975,51 ; 4.975,51 ; 6.468,16 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN STERILIZED CAT;12450599;1;6; 4.398,62 ; 733,10 ; 5.322,34 ; 887,06 ; 1.197,53 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN STERILIZED CAT;12450589;3;6; 11.808,07 ; 1.968,01 ; 14.287,76 ; 2.381,29 ; 3.214,75 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN STERILIZED CAT;12450610;7,5;1; 4.111,99 ; 4.111,99 ; 4.975,51 ; 4.975,51 ; 6.468,16 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN LIVE CLEAR;12458622;1;6; 5.887,85 ; 981,31 ; 7.124,30 ; 1.187,38 ; 1.602,97 
Nestle Purina;Pro Plan;Alimento Seco;;Gato;Adulto;;PRO PLAN LIVE CLEAR;12458608;3;6; 15.967,71 ; 2.661,29 ; 19.320,93 ; 3.220,15 ; 4.347,21 
Nestle Purina;Pro Plan;Alimento Húmedo;;Gato;Cachorro;;PRO PLAN KITTEN (Gatitos) 15x85g XI;12341824;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
Nestle Purina;Pro Plan;Alimento Húmedo;;Gato;Adulto;;PRO PLAN Adult Cat Chicken (Pollo) 15x85g XI;12340775;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
Nestle Purina;Pro Plan;Alimento Húmedo;;Gato;Adulto;;PRO PLAN Adult Cat Salmon 15x85g XI;12340773;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
Nestle Purina;Pro Plan;Alimento Húmedo;;Gato;Adulto;;PRO PLAN Sterilized Cat (Castrados) 15x85g XI;12340774;0,085;15; 1.109,17 ; 73,95 ; 1.342,11 ; 89,48 ; 125,26 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Cachorro;;W.E.F. Puppy Recipe(Cachorros) Chicken & Salmon (Pollo y Salmón) ;12376502;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Cachorro;;W.E.F. Puppy Recipe(Cachorros) Chicken & Salmon (Pollo y Salmón);12376416;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376500;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376421;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Salmon (Pollo y Salmón);12376422;12;1; 3.497,75 ; 3.497,75 ; 4.232,27 ; 4.232,27 ; 5.924,05 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376501;2;6; 5.050,98 ; 841,82 ; 6.111,68 ; 1.018,62 ; 1.427,64 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376415;7,5;1; 2.662,80 ; 2.662,80 ; 3.222,00 ; 3.222,00 ; 4.509,76 
Nestle Purina; Whole Earth Farms;Alimento Seco;Naturales;Perro;Adulto;;W.E.F. Adult Recipe(Adultos) Chicken & Beef (Pollo y Carne Vacuna);12376489;12;1; 3.497,75 ; 3.497,75 ; 4.232,27 ; 4.232,27 ; 5.924,05 
